Объем производства промышленной продукции по видам экономической деятельности																																								
 (млн. сомов)																																								
				2014	I	II	III	IV	Jan.	Feb.	March	April	May	June	July	August	Sept.	Oct.	Nov.	Dec.	2015	I	II	III	IV	Jan.	Feb.	March	April	May	June	July	August	Sept.	Oct.	Nov.	Dec.			
																																								
																																								
									                  2014                																	2015														
по месяцам	2014			2014	I	II	III	IV	янв.	фев.	март	апр.	май	июнь	июль	авг.	сент.	окт.	нояб.	дек.	2015	I	II	III	IV	янв.	фев.	март	апр.	май	июнь	июль	авг.	сент.	окт.	нояб.	дек.			
																		                                                           																	                                                           					
К.Производство электрического оборудования	1867,7	17,2	1,4	1 850,5	473,0	449,1	400,6	527,8	152,2	155,7	165,1	176,2	153,4	119,5	104,7	124,4	171,5	188,6	161,0	178,2		423,2	318,3	404,3		138,0	125,7	159,5	122,7	108,1	87,5	91,7	142,6	170,0	200,7					
Л.Производство машин и оборудования	408,0	122,6	10,2	285,4	80,1	66,6	66,1	72,6	35,1	22,8	22,2	24,2	20,6	21,8	18,0	12,8	35,3	23,9	24,6	24,1		71,4	48,9	48,1		26,3	17,5	27,6	19,1	17,6	12,2	7,9	18,2	22,0	22,3					
М.Производство транспортных средств	746,8	0,4	0,0	746,4	164,7	196,7	193,4	191,6	37,4	62,4	64,9	56,8	64,8	75,1	74,9	59,2	59,3	74,6	54,2	62,8		132,7	175,8	128,8		34,2	46,7	51,8	59,5	50,3	66,0	50,7	37,0	41,1	63,8					
Н.Прочие производства, ремонт и установка машин и оборудования	1318,6	-45,6	-3,8	1 364,2	307,8	313,6	372,7	368,1	76,4	110,1	121,3	107,7	89,1	116,8	106,1	114,9	151,7	102,5	127,3	138,3		233,5	242,8	290,2		71,2	75,2	87,1	77,0	85,8	80,0	88,5	91,8	109,9	128,4					
		0,0	0,0																																					
III.Обеспечение электроэнергией, газом, паром и кондиционированным воздухом	23691,4	408,5	34,0	23 282,9	8 767,1	3 877,8	3 449,4	7 117,6	3 110,8	3 046,2	2 610,1	1 715,6	1 130,0	1 032,2	1 155,5	1 070,0	1 223,9	1 486,4	2 445,1	3 186,1		11 233,1	5 151,2	4 769,9		4 012,8	3 966,9	3 253,4	2 180,8	1 498,5	1 471,9	1 583,1	1 552,7	1 634,1	2 097,7					
А.Производство электроэнергии,ее передача и распределение	17573,5	350,8	29,2	17222,7	5 980,7	3 107,1	2 852,0	5 330,8	2124,3	2029,0	1827,4	1 290,9	946,6	869,6	963,3	871,7	1 017,0	1 247,1	1892,7	2 191,0		8 149,3	4 202,7	4 213,5		2801,3	2970,6	2377,4	1 687,5	1 223,1	1 292,1	1 385,7	1 366,3	1 461,5	1 835,6					
"Б,Производство газа; распределение газообразного топлива через системы газоснабжения"	3122,9	0,0	0,0	3122,9	1 369,1	639,6	422,0	692,1	468,9	471,3	428,9	362,8	140,1	136,7	136,0	139,5	146,5	148,3	176,9	366,9		1 400,0	729,2	343,5		533,4	450,4	416,2	366,5	234,8	127,9	128,2	115,7	99,6	149,1					
В.Обеспечение(снабжение) паром и кондиционированным воздухом	2995,0	57,8	4,8	2937,2	1 417,3	131,1	175,2	1 094,9	517,6	545,8	353,9	61,9	43,3	25,9	56,3	58,7	60,2	91,2	375,5	628,2		1 683,8	219,3	213,0		678,1	545,9	459,8	126,8	40,6	51,9	69,2	70,8	73,0	113,0					
		0,0	0,0																																					
